Age,Experience,Income,Branch Address,Family,CCAvg,Mortgage,Personal Loan,Brokerage Account,GIC Account,Online,CreditCard,Advisor Name,Advisor Designation,Branch Address 1,Branch Address 2,Branch Address 3
50,24,11,234 Blue Spring Rd.,4,0.6,0,0,0,0,0,1,Carolin Whitmire,PFP,234 Blue Spring Rd.,533 Hillcrest Street,94 Country Club St.
31,7,173,218 S. Westport Court,1,6,0,0,0,0,1,0,Marylee Bristow,PFP,218 S. Westport Court,9587 SW. Jefferson Street,9670 Wilson Rd.
41,16,10,9834 East Pineknoll Ave.,2,0.3,0,0,0,0,1,0,Corazon Eastin,PFP,336 Pin Oak Ave.,9834 East Pineknoll Ave.,742 Bridle Street
53,27,44,7330 West Grand St.,4,1.5,0,0,0,0,0,0,Beatriz Rolf,PFP,7330 West Grand St.,91 Lake Court,7041 East Mammoth Drive
29,5,33,36 Kent Court,1,1.8,78,0,0,0,1,0,Zofia Rambo,PFP,40 E. Dunbar Ave.,36 Kent Court,69 Spruce Dr.
52,27,85,667 E. Hall St.,3,3.4,0,1,0,0,0,0,Eulah Kicklighter,PFP,667 E. Hall St.,68 Sunbeam St.,7330 West Grand St.
62,36,69,234 Blue Spring Rd.,2,1.7,0,0,0,0,1,0,Gala Mackson,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
47,21,20,667 E. Hall St.,1,0.2,0,0,0,0,1,1,Marcelene Thomson,PFP,9251 Old Vernon St.,667 E. Hall St.,68 Sunbeam St.
47,21,79,8378 West Magnolia Street,3,1.1,185,0,0,0,1,1,Kathaleen Horgan,PFP,9091 S. Bowman Street,8378 West Magnolia Street,518 Selby Ave.
48,23,70,8376 Euclid Lane,1,2.8,0,0,0,0,0,0,Estefana Dungan,PFP,92 Ridgewood Dr.,8376 Euclid Lane,336 Pin Oak Ave.
40,15,143,36 Kent Court,1,4.1,0,0,0,0,1,0,Zofia Rambo,PFP,40 E. Dunbar Ave.,36 Kent Court,69 Spruce Dr.
60,36,195,8536 Country Club Dr.,1,4.7,0,0,0,0,1,0,Tanya Johansen,CFP,8536 Country Club Dr.,234 Blue Spring Rd.,533 Hillcrest Street
30,5,118,742 Bridle Street,4,3,0,1,0,0,1,0,Prudence Masters,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
59,33,89,7330 West Grand St.,4,1.9,0,0,0,0,1,1,Beatriz Rolf,PFP,7330 West Grand St.,91 Lake Court,7041 East Mammoth Drive
42,18,115,94 Country Club St.,1,0.3,0,0,0,0,0,0,Mariana Ghent,CFP,94 Country Club St.,36 South St.,9091 S. Bowman Street
63,39,40,24 Trusel Court,1,0.8,118,0,0,0,0,1,Taylor Kemp,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
45,19,58,20 Bradford Ave.,2,0.4,0,0,1,0,0,1,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
50,24,179,40 E. Dunbar Ave.,1,1,0,0,0,0,1,0,Deedra Halderman,CFP,24 Trusel Court,40 E. Dunbar Ave.,36 Kent Court
29,3,53,7041 East Mammoth Drive,4,2.1,0,0,0,0,1,0,Cecil Caves,PFP,7041 East Mammoth Drive,597 Lawrence Street,9929 Thompson Lane
36,11,90,9929 Thompson Lane,1,2.8,0,0,0,0,1,0,Cyndy Calcagno,CFP,597 Lawrence Street,9929 Thompson Lane,177 Winchester Street
30,5,78,9834 East Pineknoll Ave.,1,2.6,0,0,0,0,1,0,Prudence Masters,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
60,36,145,8536 Country Club Dr.,4,6.9,380,1,0,0,0,1,Aleida Suitt,PFP,387 West Fifth Ave.,8536 Country Club Dr.,234 Blue Spring Rd.
64,40,181,336 Pin Oak Ave.,2,2.3,0,1,0,1,1,1,Ross Seipel,PFP,8376 Euclid Lane,336 Pin Oak Ave.,9834 East Pineknoll Ave.
45,18,40,9251 Old Vernon St.,3,1,0,0,0,0,1,0,Jacqueline Leveque,CFP,33 Harrison Road,9251 Old Vernon St.,667 E. Hall St.
29,2,30,667 E. Hall St.,4,1,0,0,0,0,0,0,Eulah Kicklighter,PFP,667 E. Hall St.,68 Sunbeam St.,7330 West Grand St.
48,24,54,14 Lakeshore Lane,1,1.6,186,0,0,0,1,0,Zetta Gephart,PFP,4 Country Drive,14 Lakeshore Lane,890 W. Brickyard Dr.
50,24,81,9834 East Pineknoll Ave.,1,4.9,248,0,0,0,1,0,Prudence Masters,CFP,9834 East Pineknoll Ave.,742 Bridle Street,544 Edgewood Drive
47,22,25,20 Bradford Ave.,1,0.1,148,0,0,0,1,0,Ying Michaelson,PFP,20 Bradford Ave.,8573 Princeton Road,4 Country Drive
65,41,91,5 Maple Lane,2,0,146,0,0,0,0,0,Cyril Murry,PFP,8722 Richardson Street,5 Maple Lane,24 Trusel Court
